pomucka,kraj,mnozstvi
Brýle,CZ010,14038
Brýle,CZ020,2925
Brýle,CZ031,2703
Brýle,CZ032,2994
Brýle,CZ041,1605
Brýle,CZ042,3383
Brýle,CZ051,1835
Brýle,CZ052,3435
Brýle,CZ053,2605
Brýle,CZ063,1920
Brýle,CZ064,4220
Brýle,CZ071,3192
Brýle,CZ072,3150
Brýle,CZ080,5943
"Dezinfekce (l)",CZ010,16675
"Dezinfekce (l)",CZ020,1525
"Dezinfekce (l)",CZ031,1590
"Dezinfekce (l)",CZ032,8970
"Dezinfekce (l)",CZ041,1355
"Dezinfekce (l)",CZ042,2920
"Dezinfekce (l)",CZ051,1205
"Dezinfekce (l)",CZ052,2650
"Dezinfekce (l)",CZ053,1130
"Dezinfekce (l)",CZ063,2060
"Dezinfekce (l)",CZ064,9625
"Dezinfekce (l)",CZ071,3730
"Dezinfekce (l)",CZ072,1950
"Dezinfekce (l)",CZ080,5000
Roušky,CZ010,7976747
Roušky,CZ020,1630966
Roušky,CZ031,1294473
Roušky,CZ032,2490061
Roušky,CZ041,540855
Roušky,CZ042,1264016
Roušky,CZ051,736900
Roušky,CZ052,1399835
Roušky,CZ053,885219
Roušky,CZ063,1094029
Roušky,CZ064,2759412
Roušky,CZ071,1578796
Roušky,CZ072,1028180
Roušky,CZ080,2201078
Respirátory,CZ010,2860153
Respirátory,CZ020,445775
Respirátory,CZ031,324124
Respirátory,CZ032,656447
Respirátory,CZ041,170862
Respirátory,CZ042,379416
Respirátory,CZ051,194690
Respirátory,CZ052,542535
Respirátory,CZ053,304830
Respirátory,CZ063,219167
Respirátory,CZ064,673349
Respirátory,CZ071,343564
Respirátory,CZ072,250770
Respirátory,CZ080,605101
"Odběrové sady",CZ010,247810
"Odběrové sady",CZ020,33620
"Odběrové sady",CZ031,4650
"Odběrové sady",CZ032,39250
"Odběrové sady",CZ041,15300
"Odběrové sady",CZ042,20448
"Odběrové sady",CZ051,18100
"Odběrové sady",CZ052,13300
"Odběrové sady",CZ053,13450
"Odběrové sady",CZ063,8650
"Odběrové sady",CZ064,119400
"Odběrové sady",CZ071,21600
"Odběrové sady",CZ072,7700
"Odběrové sady",CZ080,71350
Rukavice,CZ010,2427004
Rukavice,CZ020,651522
Rukavice,CZ031,462028
Rukavice,CZ032,1080461
Rukavice,CZ041,153319
Rukavice,CZ042,586633
Rukavice,CZ051,258669
Rukavice,CZ052,641124
Rukavice,CZ053,307404
Rukavice,CZ063,275407
Rukavice,CZ064,730284
Rukavice,CZ071,465258
Rukavice,CZ072,397963
Rukavice,CZ080,700848
Rychlotesty,CZ010,132747
Rychlotesty,CZ020,50569
Rychlotesty,CZ031,32843
Rychlotesty,CZ032,34552
Rychlotesty,CZ041,43324
Rychlotesty,CZ042,36621
Rychlotesty,CZ051,30310
Rychlotesty,CZ052,31469
Rychlotesty,CZ053,31138
Rychlotesty,CZ063,30393
Rychlotesty,CZ064,60184
Rychlotesty,CZ071,97236
Rychlotesty,CZ072,30428
Rychlotesty,CZ080,67082
Štíty,CZ010,12765
Štíty,CZ020,2347
Štíty,CZ031,2316
Štíty,CZ032,3762
Štíty,CZ041,2515
Štíty,CZ042,3469
Štíty,CZ051,1725
Štíty,CZ052,2005
Štíty,CZ053,3790
Štíty,CZ063,2495
Štíty,CZ064,5007
Štíty,CZ071,3374
Štíty,CZ072,3580
Štíty,CZ080,3518
"Ochranné oděvy",CZ010,390004
"Ochranné oděvy",CZ020,16698
"Ochranné oděvy",CZ031,30849
"Ochranné oděvy",CZ032,94865
"Ochranné oděvy",CZ041,24819
"Ochranné oděvy",CZ042,44814
"Ochranné oděvy",CZ051,15540
"Ochranné oděvy",CZ052,33449
"Ochranné oděvy",CZ053,28543
"Ochranné oděvy",CZ063,6860
"Ochranné oděvy",CZ064,107436
"Ochranné oděvy",CZ071,14885
"Ochranné oděvy",CZ072,15439
"Ochranné oděvy",CZ080,69551
"Návleky na obuv",CZ010,101930
"Návleky na obuv",CZ020,150
"Návleky na obuv",CZ031,510
"Návleky na obuv",CZ032,48250
"Návleky na obuv",CZ041,1500
"Návleky na obuv",CZ042,10220
"Návleky na obuv",CZ051,2050
"Návleky na obuv",CZ052,500
"Návleky na obuv",CZ053,6480
"Návleky na obuv",CZ063,10300
"Návleky na obuv",CZ064,10997
"Návleky na obuv",CZ071,2050
"Návleky na obuv",CZ072,850
"Návleky na obuv",CZ080,17232
Polomasky,CZ010,6026
Polomasky,CZ020,0
Polomasky,CZ031,5
Polomasky,CZ032,879
Polomasky,CZ041,0
Polomasky,CZ042,0
Polomasky,CZ051,0
Polomasky,CZ052,800
Polomasky,CZ053,0
